CA-01,R,"LaMalfa, Doug",3,1
CA-02,D,"Huffman, Jared",91,98
CA-03,D,"Garamendi, John",91,90
CA-04,R,"McClintock, Tom",6,4
CA-05,D,"Thompson, Mike",100,93
CA-06,D,"Matsui, Doris",94,96
CA-07,D,"Bera, Ami",91,93
CA-08,R,"Cook, Paul",0,2
CA-09,D,"McNerney, Jerry",91,94
CA-10,R,"Denham, Jeff",9,7
CA-11,D,"DeSaulnier, Mark",100,99
CA-12,D,"Pelosi, Nancy",100,94
CA-13,D,"Lee, Barbara",100,96
CA-14,D,"Speier, Jackie",n/a,91
CA-15,D,"Swalwell, Eric",89,95
CA-16,D,"Costa, Jim",69,49
CA-17,D,"Khanna, Ro",100,99
CA-18,D,"Eshoo, Anna",94,97
CA-19,D,"Lofgren, Zoe",97,91
CA-20,D,"Panetta, Jimmy",94,96
CA-21,R,"Valadao, David",11,5
CA-22,R,"Nunes, Devin",3,3
CA-23,R,"McCarthy, Kevin",3,3
CA-24,D,"Carbajal, Salud",83,91
CA-25,R,"Knight, Steve",11,5
CA-26,D,"Brownley, Julia",89,96
CA-27,D,"Chu, Judy",97,98
CA-28,D,"Schiff, Adam",97,98
CA-29,D,"Cárdenas, Tony",49,84
CA-30,D,"Sherman, Brad",97,97
CA-31,D,"Aguilar, Pete",91,97
CA-32,D,"Napolitano, Grace",94,90
CA-33,D,"Lieu, Ted",89,90
CA-34,D,"Gomez, Jimmy",97,96
CA-35,D,"Torres, Norma",94,96
CA-36,D,"Ruiz, Raul",91,94
CA-37,D,"Bass, Karen",66,87
CA-38,D,"Sanchez, Linda",97,93
CA-39,R,"Royce, Ed",9,11
CA-40,D,"Roybal-Allard, Lucille",100,95
CA-41,D,"Takano, Mark",97,99
CA-42,R,"Calvert, Ken",6,6
CA-43,D,"Waters, Maxine",94,91
CA-44,D,"Barragán, Nanette",94,96
CA-45,R,"Walters, Mimi",0,3
CA-46,D,"Correa, J.",91,91
CA-47,D,"Lowenthal, Alan",94,98
CA-48,R,"Rohrabacher, Dana",11,10
CA-49,R,"Issa, Darrell",3,4
CA-50,R,"Hunter, Duncan",0,2
CA-51,D,"Vargas, Juan",91,96
CA-52,D,"Peters, Scott",86,92
CA-53,D,"Davis, Susan",94,97
NY-01,R,"Zeldin, Lee",9,10
NY-02,R,"King, Peter",29,17
NY-03,D,"Suozzi, Thomas",97,97
NY-04,D,"Rice, Kathleen",91,94
NY-05,D,"Meeks, Gregory",100,89
NY-06,D,"Meng, Grace",100,97
NY-07,D,"Velazquez, Nydia",100,94
NY-08,D,"Jeffries, Hakeem",91,95
NY-09,D,"Clarke, Yvette",100,95
NY-10,D,"Nadler, Jerrold",100,97
NY-11,R,"Donovan, Daniel",26,19
NY-12,D,"Maloney, Carolyn",97,95
NY-13,D,"Espaillat, Adriano",100,99
NY-14,D,"Crowley, Joseph",86,94
NY-15,D,"Serrano, Jose",100,92
NY-16,D,"Engel, Eliot",100,93
NY-17,D,"Lowey, Nita",91,94
NY-18,D,"Maloney, Sean",89,88
NY-19,R,"Faso, John",37,36
NY-20,D,"Tonko, Paul",94,97
NY-21,R,"Stefanik, Elise",51,33
NY-22,R,"Tenney, Claudia",6,6
NY-23,R,"Reed, Tom",17,8
NY-24,R,"Katko, John",43,27
NY-25,D,"Slaughter, Louise",n/a,91
NY-25,D,"Morelle, Joe",100,100
NY-26,D,"Higgins, Brian",91,95
NY-27,R,"Collins, Chris",9,4
FL-01,R,"Gaetz, Matt",9,7
FL-02,R,"Dunn, Neal",0,1
FL-03,R,"Yoho, Ted",0,2
FL-04,R,"Rutherford, John",6,4
FL-05,D,"Lawson, Al",89,79
FL-06,R,"DeSantis, Ron",0,2
FL-07,D,"Murphy, Stephanie",83,87
FL-08,R,"Posey, Bill",0,5
FL-09,D,"Soto, Darren",100,100
FL-10,D,"Demings, Val",94,96
FL-11,R,"Webster, Daniel",0,5
FL-12,R,"Bilirakis, Gus",6,8
FL-13,D,"Crist, Charlie",94,89
FL-14,D,"Castor, Kathy",91,93
FL-15,R,"Ross, Dennis",3,4
FL-16,R,"Buchanan, Vern",40,22
FL-17,R,"Rooney, Tom",6,6
FL-18,R,"Mast, Brian",29,26
FL-19,R,"Rooney, Francis",20,10
FL-20,D,"Hastings, Alcee",94,84
FL-21,D,"Frankel, Lois",100,98
FL-22,D,"Deutch, Ted",94,91
FL-23,D,"Wasserman Schultz, Debbie",100,93
FL-24,D,"Wilson, Frederica",97,91
FL-25,R,"Diaz-Balart, Mario",17,11
FL-26,R,"Curbelo, Carlos",57,39
FL-27,R,"Ros-Lehtinen, Ileana",57,34
AL-01,R,"Byrne, Bradley",0,0
AL-02,R,"Roby, Martha",6,4
AL-03,R,"Rogers, Mike",3,6
AL-04,R,"Aderholt, Robert",0,3
AL-05,R,"Brooks, Mo",20,9
AL-06,R,"Palmer, Gary",0,1
AL-07,D,"Sewell, Terri",71,79
HI-01,D,"Hanabusa, Colleen",46,83
HI-02,D,"Gabbard, Tulsi",94,96
MO-01,D,"Clay, William Lacy",86,89
MO-02,R,"Wagner, Ann",0,2
MO-03,R,"Luetkemeyer, Blaine",0,3
MO-04,R,"Hartzler, Vicky",0,2
MO-05,D,"Cleaver, Emanuel",97,88
MO-06,R,"Graves, Sam",0,4
MO-07,R,"Long, Billy",3,2
MO-08,R,"Smith, Jason",3,1
TN-01,R,"Roe, Phil",3,2
TN-02,R,"Duncan, Jr., John J.",9,9
TN-03,R,"Fleischmann, Chuck",3,3
TN-04,R,"DesJarlais, Scott",3,2
TN-05,D,"Cooper, Jim",86,82
TN-06,R,"Black, Diane",3,3
